Hallwang;<50316>;2118;;2117
Henndorf am Wallersee;<50317>;2496;;2582
Hof bei Salzburg;<50319>;1809;;1821
Koppl;<50321>;1852;;1827
Lamprechtshausen;<50322>;2037;;2041
Mattsee;<50323>;1683;;1816
Neumarkt am Wallersee;<50324>;3285;;3341
Oberndorf bei Salzburg;<50326>;2924;;3134
Obertrum am See;<50327>;2494;;2464
St. Georgen bei Salzburg;<50329>;1558;;1523
St. Gilgen;<50330>;1984;;2092
Seekirchen am Wallersee;<50339>;5476;;5757
Straßwalchen;<50335>;4015;;3996
Strobl;<50336>;1811;;1880
Thalgau;<50337>;3029;;3001
Wals-Siezenheim;<50338>;6820;;7426
Reutte;<70828>;3533;;3630
Innsbruck;<70101>;64545;;66813
Absam;<70301>;3561;;3768
Axams;<70304>;3055;;3196
Fulpmes;<70310>;2283;;2277
Götzens;<70312>;2024;;2119
Hall in Tirol;<70354>;6989;;7429
Inzing;<70319>;2011;;2007
Kematen in Tirol;<70320>;1581;;1648
Matrei am Brenner;<70370>;1748;;1797
Mils;<70329>;2303;;2313
Neustift im Stubaital;<70334>;2468;;2544
Oberperfuss;<70337>;1559;;1526
Rum;<70346>;4492;;4889
Seefeld in Tirol;<70351>;1748;;1848
Steinach am Brenner;<70355>;1854;;1830
Telfs;<70357>;8059;;8212
Thaur;<70358>;2095;;2205
Volders;<70365>;2277;;2253
Völs;<70364>;3505;;3681
Wattens;<70367>;3920;;4253
Zirl;<70369>;4026;;4198
Lienz;<70716>;5584;;6406
Matrei in Osttirol;<70717>;2315;;2299
Nußdorf-Debant;<70719>;1668;;1742
Arzl im Pitztal;<70201>;1559;;1584
Haiming;<70202>;2429;;2456
Imst;<70203>;5464;;5671
Längenfeld;<70208>;2435;;2458
Mieming;<70209>;1921;;2033
Sölden;<70220>;1546;;1541
Umhausen;<70223>;1748;;1706
Fließ;<70604>;1597;;1537
Landeck;<70614>;3687;;3892
Zams;<70630>;1730;;1883
Fieberbrunn;<70403>;2339;;2242
Hopfgarten im Brixental;<70406>;2835;;2920
Kirchberg in Tirol;<70409>;2573;;2731
Kirchdorf in Tirol;<70410>;2040;;2037
Kitzbühel;<70411>;3886;;4403
Kössen;<70412>;2213;;2316
St. Johann in Tirol;<70416>;4744;;5141
Westendorf;<70420>;1799;;1872
Breitenbach am Inn;<70505>;1764;;1751
Brixlegg;<70506>;1479;;1580
Ebbs;<70508>;2891;;2983
Kirchbichl;<70511>;2933;;3050
Kramsach;<70512>;2460;;2581
Kufstein;<70513>;9685;;10245
Kundl;<70514>;2398;;2493
Langkampfen;<70515>;2100;;2141
Münster;<70517>;1767;;1792
Söll;<70526>;1882;;1858
